cosmic/embed_env_test.tl	47	argument
cosmic/embed_env_test.tl	99	argument
cosmic/embed_test.tl	37	argument
cosmic/embed_test.tl	68	argument
cosmic/embed_test.tl	116	argument
cosmic/embed_test.tl	136	argument
cosmic/embed_test.tl	160	argument
cosmic/embed_test.tl	166	argument
cosmic/embed_test.tl	195	argument
cosmic/embed_test.tl	218	argument
cosmic/embed_test.tl	323	argument
cosmic/embed_test.tl	351	argument
cosmic/env.tl	232	return
cosmic/env.tl	322	assignment
cosmic/fd_read_test.tl	48	assignment
cosmic/fd_test.tl	188	assignment
cosmic/fd_test.tl	231	assignment
cosmic/fd_test.tl	325	assignment
cosmic/fd_test.tl	409	assignment
cosmic/fd_test.tl	415	operand
cosmic/fetch/extras.tl	316	argument
cosmic/fetch/extras.tl	337	argument
cosmic/fetch/init.tl	315	assignment
cosmic/fetch/init_test.tl	58	return
cosmic/fetch/init_test.tl	192	argument
cosmic/fetch/init_test.tl	232	argument
cosmic/fetch/multiheader_test.tl	32	operand
cosmic/fetch/multiheader_test.tl	41	return
cosmic/fetch/retry_test.tl	48	operand
cosmic/fetch/retry_test.tl	60	return
cosmic/fetch/stream_test.tl	26	operand
cosmic/fetch/stream_test.tl	37	return
cosmic/fetch/stream_test.tl	57	argument
cosmic/fetch/stream_test.tl	70	argument
cosmic/fetch/stream_test.tl	167	argument
cosmic/fetch/verbs_test.tl	61	return
cosmic/fetch/verbs_test.tl	78	return
cosmic/fetch/verbs_test.tl	83	return
cosmic/fetch/verbs_test.tl	89	return
cosmic/fetch/verbs_test.tl	94	return
cosmic/fetch/verbs_test.tl	104	return
cosmic/fetch/verbs_test.tl	113	return
cosmic/fetch/verbs_test.tl	124	return
cosmic/fetch/verbs_test.tl	135	return
cosmic/fetch/verbs_test.tl	152	return
cosmic/fetch/verbs_test.tl	164	return
cosmic/format/init_test.tl	13	operand
cosmic/format/init_test.tl	32	operand
cosmic/format/init_test.tl	32	operand
cosmic/format/types_test.tl	26	operand
cosmic/fs/dir.tl	20	return
cosmic/fs/dir.tl	30	return
cosmic/fs/dir.tl	37	return
cosmic/fs/dir_test.tl	218	index-key
cosmic/fs/find.tl	256	argument
